INFO  - 2014-06-29 20:33:21.762; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83696 (1472304724586790913)]} 0 0
INFO  - 2014-06-29 20:33:21.765; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83697 (1472304724588888064)]} 0 1
INFO  - 2014-06-29 20:33:21.765; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83677 (1472304724588888065)]} 0 1
INFO  - 2014-06-29 20:33:21.767; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83697 (1472304724590985216)]} 0 1
INFO  - 2014-06-29 20:33:21.769; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83698 (1472304724593082368)]} 0 1
INFO  - 2014-06-29 20:33:21.771; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83699 (1472304724596228096)]} 0 0
INFO  - 2014-06-29 20:33:21.773; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83699 (1472304724598325248)]} 0 0
INFO  - 2014-06-29 20:33:21.775; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83700 (1472304724600422400)]} 0 0
INFO  - 2014-06-29 20:33:21.778; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83701 (1472304724602519552)]} 0 1
INFO  - 2014-06-29 20:33:21.780; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83701 (1472304724605665280)]} 0 0
INFO  - 2014-06-29 20:33:21.782; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83702 (1472304724607762432)]} 0 0
INFO  - 2014-06-29 20:33:21.785; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83705 (1472304724610908160)]} 0 0
INFO  - 2014-06-29 20:33:21.787; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83705 (1472304724613005312)]} 0 0
INFO  - 2014-06-29 20:33:21.789; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83706 (1472304724615102464)]} 0 0
INFO  - 2014-06-29 20:33:21.791; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83709 (1472304724617199616)]} 0 0
INFO  - 2014-06-29 20:33:21.794; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83709 (1472304724619296768)]} 0 1
INFO  - 2014-06-29 20:33:21.796; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83710 (1472304724621393920)]} 0 1
INFO  - 2014-06-29 20:33:21.798; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83711 (1472304724624539648)]} 0 0
INFO  - 2014-06-29 20:33:21.800; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83711 (1472304724626636800)]} 0 0
INFO  - 2014-06-29 20:33:21.802; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83712 (1472304724628733952)]} 0 0
INFO  - 2014-06-29 20:33:21.804; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83713 (1472304724630831104)]} 0 0
INFO  - 2014-06-29 20:33:21.806; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83713 (1472304724632928256)]} 0 0
INFO  - 2014-06-29 20:33:21.807; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83677 (1472304724633976832)]} 0 1
INFO  - 2014-06-29 20:33:21.808; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83714 (1472304724635025408)]} 0 0
INFO  - 2014-06-29 20:33:21.809; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83678 (1472304724636073984)]} 0 1
INFO  - 2014-06-29 20:33:21.810; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83715 (1472304724637122560)]} 0 0
INFO  - 2014-06-29 20:33:21.811; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83679 (1472304724638171136)]} 0 0
INFO  - 2014-06-29 20:33:21.812; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83715 (1472304724639219712)]} 0 0
INFO  - 2014-06-29 20:33:21.813; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83679 (1472304724640268288)]} 0 0
INFO  - 2014-06-29 20:33:21.815; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83716 (1472304724641316864)]} 0 1
INFO  - 2014-06-29 20:33:21.815; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83680 (1472304724642365440)]} 0 0
INFO  - 2014-06-29 20:33:21.817; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83717 (1472304724644462592)]} 0 0
INFO  - 2014-06-29 20:33:21.818; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83685 (1472304724644462593)]} 0 1
INFO  - 2014-06-29 20:33:21.819; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83717 (1472304724646559744)]} 0 0
INFO  - 2014-06-29 20:33:21.819; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83685 (1472304724646559745)]} 0 0
INFO  - 2014-06-29 20:33:21.821; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83718 (1472304724648656896)]} 0 0
INFO  - 2014-06-29 20:33:21.821; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83686 (1472304724648656897)]} 0 0
INFO  - 2014-06-29 20:33:21.824; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83719 (1472304724650754048)]} 0 1
INFO  - 2014-06-29 20:33:21.824; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83703 (1472304724651802624)]} 0 0
INFO  - 2014-06-29 20:33:21.826; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83719 (1472304724652851200)]} 0 1
